"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"381","true","false","true","10000","367.435546875","141.7158203125","12"
"382","true","false","true","10000","370.7939453125","387.05859375","11"
"383","true","false","true","10000","263.5703125","674.69921875","9"
"385","true","false","true","10000","169.02734375","118.505859375","10"
"384","true","false","true","10000","159.359375","511.9921875","8"
"386","true","false","true","10000","214.945068359375","302.98828125","13"
"387","true","false","true","10000","201.12127685546875","229.72128295898438","18"
"388","true","false","true","10000","471.11328125","613.62109375","9"
"390","true","false","true","10000","144.64877319335938","630.2598571777344","16"
"389","true","false","true","10000","177.8349609375","526.2509765625","11"
"391","true","false","true","10000","230.8671875","340.1171875","8"
"392","true","false","true","10000","240.44586181640625","354.9793701171875","15"
"393","true","false","true","10000","195.146484375","624.2315673828125","14"
"394","true","false","true","10000","151.3623046875","569.3505859375","12"
"395","true","false","true","10000","200.923828125","356.001953125","12"
"396","true","false","true","10000","130.199951171875","486.8778076171875","14"
"397","true","false","true","10000","167.3221435546875","529.77880859375","15"
"398","true","false","true","10000","141.222412109375","557.495849609375","14"
"399","true","false","true","10000","192.482421875","695.61376953125","12"
"400","true","false","true","10000","413.3765563964844","239.66943359375","16"
"401","true","false","true","10000","176.38916015625","631.614990234375","13"
"402","true","false","true","10000","207.79156494140625","113.47116088867188","17"
"403","true","false","true","10000","289.1956787109375","344.1221923828125","14"
"404","true","false","true","10000","132.0126953125","1233.57568359375","12"
"406","true","false","true","10000","124.12518310546875","657.808837890625","15"
"405","true","false","true","10000","307.231201171875","248.789794921875","13"
"407","true","false","true","10000","154.5","1904.21875","8"
"408","true","false","true","10000","171.07918548583984","292.17767333984375","19"
"409","true","false","true","10000","365.23046875","365.52685546875","15"
"410","true","false","true","10000","241.96337890625","509.0386962890625","14"
"411","true","false","true","10000","115.01873779296875","472.82391357421875","17"
"412","true","false","true","10000","222.402587890625","175.60791015625","13"
"414","true","false","true","10000","131.46902465820312","456.78375244140625","16"
"413","true","false","true","10000","158.70529174804688","453.72564697265625","16"
"416","true","false","true","10000","150.37226104736328","236.4109878540039","18"
"415","true","false","true","10000","441.0703125","1435.140625","8"
"417","true","false","true","10000","152.03139305114746","290.51323318481445","21"
"418","true","false","true","10000","150.66619873046875","321.25018310546875","15"
"419","true","false","true","10000","279.046875","245.4541015625","11"
"420","true","false","true","10000","213.5369110107422","177.7647247314453","17"
"421","true","false","true","10000","262.46109771728516","127.50262451171875","18"
"422","true","false","true","10000","319.89453125","138.130859375","10"
"424","true","false","true","10000","191.140869140625","549.812744140625","13"
"423","true","false","true","10000","140.10546875","320.9140625","9"
"425","true","false","true","10000","273.7734375","480.701171875","10"
"426","true","false","true","10000","311.24560546875","434.8347930908203","17"
"427","true","false","true","10000","120.314453125","523.060546875","10"
"428","true","false","true","10000","198.53515625","1497.693359375","11"
"429","true","false","true","10000","423.1171875","1170.0859375","9"
